unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status
ID0,1990-12-31,6670.97314453125,8791.348,7770.264,7590.5674,6829.234375,0,Non-anomalies
ID0,1991-03-31,5117.5791015625,7253.4043,5822.192,5652.2974,5438.60986328125,0,Non-anomalies
ID0,1991-06-30,8526.837890625,10232.688,10152.153,9697.487,8741.3232421875,0,Non-anomalies
ID0,1991-09-30,16595.384765625,16496.812,16293.792,16284.3955,15704.7099609375,0,Non-anomalies
ID0,1991-12-31,7145.8349609375,9011.829,8251.957,7832.5806,6829.234375,0,Non-anomalies
ID0,1992-03-31,5465.91552734375,7681.96,6605.6562,6204.866,5438.60986328125,0,Non-anomalies
ID0,1992-06-30,9303.349609375,10512.699,10608.038,10008.058,8741.3232421875,0,Non-anomalies
ID0,1992-09-30,16747.18359375,17096.87,16993.62,17429.662,15704.7099609375,0,Non-anomalies
ID1,1990-12-31,311722.5625,366903.4,351551.66,349698.97,308229.125,0,Non-anomalies
ID1,1991-03-31,247941.03125,333420.06,314565.16,319627.16,281031.6875,0,Non-anomalies
ID1,1991-06-30,308605.75,364495.44,360804.2,366087.72,320256.5,0,Non-anomalies
ID1,1991-09-30,487843.40625,494121.66,483307.06,486958.53,458326.40625,0,Non-anomalies
ID1,1991-12-31,326568.1875,386570.97,371461.44,364250.22,308229.125,0,Non-anomalies
ID1,1992-03-31,269902.0625,356608.5,330675.03,339599.66,281031.6875,0,Non-anomalies
ID1,1992-06-30,343546.40625,381266.06,369515.66,381245.75,320256.5,0,Non-anomalies
ID1,1992-09-30,511731.09375,516229.4,498921.1,515525.03,458326.40625,0,Non-anomalies
ID10,2003-03-31,71828.0,101375.086,110154.66,99530.96,87905.0,0,Non-anomalies
ID10,2003-06-30,15060.0,118946.58,121487.17,121768.875,108574.0,1,Anomalies
ID10,2003-09-30,75450.0,102780.09,117793.16,108911.414,95460.0,0,Non-anomalies
ID10,2003-12-31,103391.0,142133.69,145859.45,145296.58,134227.0,1,Anomalies
ID10,2004-03-31,74919.0,111245.0,121970.766,107410.4,87905.0,0,Non-anomalies
ID10,2004-06-30,118625.0,128819.09,128132.42,131508.34,108574.0,0,Non-anomalies
ID10,2004-09-30,109970.0,110129.016,123947.81,114190.31,95460.0,0,Non-anomalies
ID10,2004-12-31,160406.0,148563.81,151058.6,148091.95,134227.0,0,Non-anomalies
ID100,2003-09-30,585382.0,563832.3,515691.1,503178.84,539550.0,0,Non-anomalies
ID100,2003-12-31,803839.0,846992.25,799062.6,720344.9,770330.0,0,Non-anomalies
ID100,2004-03-31,652494.0,684222.75,608822.0,629485.56,616270.0,0,Non-anomalies
ID100,2004-06-30,561234.0,465625.4,435750.56,472219.6,435082.0,0,Non-anomalies
ID100,2004-09-30,653014.0,589691.06,553760.3,550557.2,539550.0,0,Non-anomalies
ID100,2004-12-31,818339.0,873457.7,860088.25,778632.75,770330.0,0,Non-anomalies
ID100,2005-03-31,784919.0,722158.44,663206.94,672789.0,616270.0,0,Non-anomalies
ID100,2005-06-30,609739.0,469677.78,494077.66,499798.4,435082.0,0,Non-anomalies
ID101,2003-09-30,57120.0,45650.93,52572.27,43210.832,46095.0,0,Non-anomalies
ID101,2003-12-31,73143.0,61306.875,61290.066,57959.11,59893.0,0,Non-anomalies
ID101,2004-03-31,49234.0,38288.1,42725.797,44681.12,37322.0,0,Non-anomalies
ID101,2004-06-30,67629.0,55078.992,58207.71,59635.246,55055.0,0,Non-anomalies
ID101,2004-09-30,72853.0,49495.402,58979.85,48190.87,46095.0,1,Anomalies
ID101,2004-12-31,82059.0,66255.21,67314.68,61793.812,59893.0,0,Non-anomalies
ID101,2005-03-31,59176.0,41822.242,46770.664,47381.89,37322.0,0,Non-anomalies
ID101,2005-06-30,71022.0,57982.453,61722.273,59922.867,55055.0,0,Non-anomalies
ID102,2003-09-30,8570.0,6657.837,6223.279,6008.2305,6044.0,1,Anomalies
ID102,2003-12-31,10837.0,11016.655,10421.201,9484.786,9827.0,0,Non-anomalies
ID102,2004-03-31,8427.0,9212.014,8485.104,8655.3125,8260.0,0,Non-anomalies
ID102,2004-06-30,6623.0,5845.2,5741.938,6123.7847,5573.0,0,Non-anomalies
ID102,2004-09-30,9505.0,7163.935,6723.586,6610.4077,6044.0,1,Anomalies
ID102,2004-12-31,9405.0,11544.291,11224.315,10318.846,9827.0,0,Non-anomalies
ID102,2005-03-31,9129.0,9895.981,9240.175,9346.65,8260.0,0,Non-anomalies
ID102,2005-06-30,6049.0,6065.718,6486.3135,6504.219,5573.0,0,Non-anomalies
ID103,2003-09-30,8676.0,7576.309,7196.6533,6700.3403,7108.0,0,Non-anomalies
ID103,2003-12-31,7499.0,9286.918,8908.664,8753.899,8852.0,0,Non-anomalies
ID103,2004-03-31,7769.0,6833.5303,6381.562,6851.85,6234.0,0,Non-anomalies
