unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status
ID0,1986-12-31,32613.49609375,31075.85,32252.713,32543.723,30216.83203125,0,Non-anomalies
ID0,1987-12-31,36053.16796875,33712.58,34372.406,33595.223,30216.83203125,1,Anomalies
ID0,1988-12-31,38472.75390625,37394.645,35687.156,36683.555,30216.83203125,1,Anomalies
ID0,1989-12-31,38420.89453125,39506.02,38457.848,40486.113,30216.83203125,1,Anomalies
ID1,1986-12-31,1532533.625,1415437.0,1466326.8,1477552.1,1372823.375,0,Non-anomalies
ID1,1987-12-31,1587760.625,1513714.9,1563757.0,1526017.2,1372823.375,0,Non-anomalies
ID1,1988-12-31,1617737.875,1674136.5,1623708.0,1665600.0,1372823.375,0,Non-anomalies
ID1,1989-12-31,1499631.125,1794775.2,1751577.4,1831996.2,1372823.375,0,Non-anomalies
ID10,2000-12-31,450569.0,388016.88,375302.94,382071.56,351175.0,1,Anomalies
ID10,2001-12-31,421513.0,411672.06,399222.6,391211.66,351175.0,0,Non-anomalies
ID10,2002-12-31,426166.0,455044.38,410453.66,420937.06,351175.0,0,Non-anomalies
ID10,2003-12-31,265729.0,468423.88,441131.84,460290.66,351175.0,0,Non-anomalies
ID100,1989-12-31,35842.859375,37568.598,34920.867,34880.18,32496.16015625,0,Non-anomalies
ID100,1990-12-31,37977.859375,39202.754,37647.44,36182.227,32496.16015625,0,Non-anomalies
ID100,1991-12-31,38300.55859375,39748.254,38225.895,38408.19,32496.16015625,0,Non-anomalies
ID100,1992-12-31,46698.76171875,43985.812,41305.336,42067.734,32496.16015625,0,Non-anomalies
ID101,1989-12-31,1.8799999952316284,3.9938703,3.2495265,3.067395,2.4200000762939453,0,Non-anomalies
ID101,1990-12-31,2.130000114440918,6.2332172,3.7929497,3.0968897,2.4200000762939453,0,Non-anomalies
ID101,1991-12-31,2.390000104904175,8.369024,4.6229773,3.7829096,2.4200000762939453,0,Non-anomalies
ID101,1992-12-31,2.1600000858306885,8.023324,5.090151,4.59678,2.4200000762939453,0,Non-anomalies
ID102,1989-12-31,18147.9296875,20436.94,18848.768,18787.908,17548.890625,0,Non-anomalies
ID102,1990-12-31,19360.740234375,21861.5,20418.67,19490.643,17548.890625,0,Non-anomalies
ID102,1991-12-31,20078.80078125,22338.084,20628.48,20639.355,17548.890625,0,Non-anomalies
ID102,1992-12-31,24801.5390625,24160.076,22261.504,22646.094,17548.890625,0,Non-anomalies
ID103,1989-12-31,1176189.0,1303963.5,1333009.2,1333555.0,1240470.0,0,Non-anomalies
ID103,1990-12-31,1331677.0,1327393.5,1427313.1,1383314.6,1240470.0,0,Non-anomalies
ID103,1991-12-31,1259837.0,1432991.9,1464391.5,1478936.6,1240470.0,0,Non-anomalies
ID103,1992-12-31,1324399.0,1601786.4,1584274.0,1617380.4,1240470.0,0,Non-anomalies
ID104,1990-12-31,79.0,89.80015,84.647385,86.07614,79.0,0,Non-anomalies
ID104,1991-12-31,75.0,91.00313,91.92586,87.47256,79.0,0,Non-anomalies
ID104,1992-12-31,82.0,103.910965,97.80922,98.22729,79.0,0,Non-anomalies
ID104,1993-12-31,87.0,121.41107,105.81825,113.37149,79.0,0,Non-anomalies
ID105,1992-12-31,48390.0,40714.0,42272.652,42659.16,39607.0,1,Anomalies
ID105,1993-12-31,60026.0,44239.445,45050.8,44035.9,39607.0,1,Anomalies
ID105,1994-12-31,64363.0,49073.598,46769.758,48083.55,39607.0,1,Anomalies
ID105,1995-12-31,74914.0,51811.137,50394.46,53088.867,39607.0,1,Anomalies
ID106,1989-12-31,1117035.0,1260347.5,1187754.2,988115.8,1079960.0,0,Non-anomalies
ID106,1990-12-31,1328157.0,1529225.0,1389401.2,1043932.25,1079960.0,0,Non-anomalies
ID106,1991-12-31,1284786.0,1648111.2,1390009.9,1089294.1,1079960.0,0,Non-anomalies
ID106,1992-12-31,1625231.0,1652865.4,1604606.2,1263624.1,1079960.0,0,Non-anomalies
ID107,1999-12-31,1337.2900390625,1690.7051,1646.1765,1665.7128,1536.8199462890625,0,Non-anomalies
ID107,2000-12-31,1247.0400390625,1654.3911,1752.5073,1706.1405,1536.8199462890625,0,Non-anomalies
ID107,2001-12-31,1673.0999755859375,1832.1547,1788.7799,1841.5494,1536.8199462890625,0,Non-anomalies
ID107,2002-12-31,879.5499877929688,2076.1704,1927.0164,2009.0809,1536.8199462890625,0,Non-anomalies
