unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status,trend_str,seas_str
M1,1994-03-31,2280.0,2741.9062,2794.85,2476.0752,2760.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-04-30,480.0,2312.0537,2648.0466,2609.8901,3840.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-05-31,5040.0,1553.3717,3000.9492,2314.137,960.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-06-30,1920.0,1898.4937,2837.177,2333.4692,2280.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-07-31,840.0,1499.321,2935.1377,2602.0786,1320.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-08-31,2520.0,2153.3103,1903.6433,2079.9595,2160.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-09-30,1560.0,3437.4807,2613.5754,3162.5547,4800.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-10-31,1440.0,2625.5813,2847.2534,3158.4548,3000.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-11-30,240.0,3296.8452,2749.1643,3180.974,3120.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1994-12-31,1800.0,2907.338,2367.897,3322.9482,5880.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-01-31,4680.0,2355.75,1845.2274,2852.3513,2640.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-02-28,1800.0,2295.7524,2136.9504,2875.4102,2400.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-03-31,1680.0,2125.8306,2052.783,2690.8462,2760.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-04-30,3720.0,2251.9219,1730.7405,2819.4492,3840.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-05-31,2160.0,1149.3843,1789.9197,2602.2002,960.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-06-30,480.0,1660.7845,1789.5912,2512.7683,2280.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-07-31,2040.0,1299.2435,1705.751,2651.7815,1320.0,0,Non-anomalies,Stationary,Non-seasonal
M1,1995-08-31,1440.0,1944.493,1025.1135,2357.2112,2160.0,0,Non-anomalies,Stationary,Non-seasonal
M10,1994-03-31,4380.0,5175.044,5059.5063,5191.6816,4460.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-04-30,5080.0,5463.737,4993.9604,5199.864,7580.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-05-31,4740.0,4926.0933,4224.5386,4559.519,5740.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-06-30,3800.0,3909.911,3708.1023,3113.5896,1780.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-07-31,5060.0,4086.733,3929.6104,3397.6523,1480.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-08-31,4260.0,4806.1475,4397.959,4178.2944,4600.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-09-30,4540.0,4771.4336,4414.3384,4630.694,5440.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-10-31,2900.0,5305.1685,4863.134,4507.04,5260.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-11-30,4500.0,5681.024,4914.8413,4635.235,5060.0,0,Non-anomalies,Stationary,Seasonal
M10,1994-12-31,3540.0,5222.1323,4789.534,4504.2944,3460.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-01-31,3840.0,6021.6978,6027.291,5120.9097,6260.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-02-28,4080.0,5216.3174,5498.328,5632.7456,6140.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-03-31,3620.0,5339.8364,4758.035,5053.4053,4460.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-04-30,3820.0,4713.4,4924.3887,5030.0215,7580.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-05-31,4880.0,4654.817,4297.323,4613.8667,5740.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-06-30,2800.0,3479.8965,3385.417,3014.6438,1780.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-07-31,3640.0,3822.9497,3379.6165,3247.6262,1480.0,0,Non-anomalies,Stationary,Seasonal
M10,1995-08-31,4100.0,4810.0444,4091.7483,4122.44,4600.0,0,Non-anomalies,Stationary,Seasonal
M100,1994-04-30,5160.0,5508.0737,5597.056,5524.9087,5840.0,0,Non-anomalies,Non-stationary,Seasonal
M100,1994-05-31,5210.0,5465.271,5298.0815,5135.6724,4810.0,0,Non-anomalies,Non-stationary,Seasonal
M100,1994-06-30,5750.0,5655.765,5478.0195,5431.8535,6440.0,0,Non-anomalies,Non-stationary,Seasonal
