unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status,trend_str,seas_str
Q1,1993-03-31,5531.5,5573.178,5481.9883,5477.4854,5551.25,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1993-06-30,5670.6,5538.6265,5465.28,5498.144,5592.15,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1993-09-30,5730.0,5460.538,5479.5293,5486.9004,5481.6,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1993-12-31,5798.45,5523.7935,5491.205,5555.974,5511.55,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1994-03-31,5809.05,5556.317,5517.469,5505.0317,5551.25,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1994-06-30,5707.05,5564.43,5559.659,5571.246,5592.15,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1994-09-30,5661.75,5489.466,5551.5396,5554.8564,5481.6,0,Non-anomalies,Non-stationary,Non-seasonal
Q1,1994-12-31,6176.6,5566.5293,5558.295,5604.483,5511.55,0,Non-anomalies,Non-stationary,Non-seasonal
Q10,1993-03-31,6729.34,6739.5737,6753.359,6805.0835,6707.04,0,Non-anomalies,Non-stationary,Seasonal
Q10,1993-06-30,6675.46,6678.6753,6788.1064,6811.0273,6731.2,0,Non-anomalies,Non-stationary,Seasonal
Q10,1993-09-30,7142.94,6957.4194,6904.4546,7010.7764,6984.68,0,Non-anomalies,Non-stationary,Seasonal
Q10,1993-12-31,7308.06,6760.364,6896.6187,7000.0444,6820.5,0,Non-anomalies,Non-stationary,Seasonal
Q10,1994-03-31,7525.5,6864.8164,6857.962,6990.309,6707.04,0,Non-anomalies,Non-stationary,Seasonal
Q10,1994-06-30,7893.78,6800.9575,6935.1123,6993.038,6731.2,0,Non-anomalies,Non-stationary,Seasonal
Q10,1994-09-30,8223.88,7047.959,7058.28,7181.603,6984.68,0,Non-anomalies,Non-stationary,Seasonal
Q10,1994-12-31,8904.28,6844.441,7082.6587,7186.157,6820.5,0,Non-anomalies,Non-stationary,Seasonal
Q100,1993-03-31,3768.0,3989.1396,3978.3594,4043.0889,3388.0,0,Non-anomalies,Non-stationary,Seasonal
Q100,1993-06-30,4208.0,4186.6675,4146.514,4173.827,3734.0,0,Non-anomalies,Non-stationary,Seasonal
Q100,1993-09-30,4322.0,4195.922,4213.6084,4213.384,3784.0,0,Non-anomalies,Non-stationary,Seasonal
Q100,1993-12-31,4748.0,4384.915,4296.448,4305.177,3974.0,1,Anomalies,Non-stationary,Seasonal
Q100,1994-03-31,4898.0,4282.056,4267.599,4318.7417,3388.0,1,Anomalies,Non-stationary,Seasonal
Q100,1994-06-30,5020.0,4502.688,4470.411,4470.486,3734.0,1,Anomalies,Non-stationary,Seasonal
Q100,1994-09-30,5148.0,4488.466,4476.2207,4472.9575,3784.0,1,Anomalies,Non-stationary,Seasonal
Q100,1994-12-31,5564.0,4673.5967,4570.59,4555.0596,3974.0,1,Anomalies,Non-stationary,Seasonal
Q101,1993-03-31,7244.0,8479.526,8351.129,8299.436,7840.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1993-06-30,7718.0,8759.836,8735.775,8915.109,8294.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1993-09-30,7904.0,8611.096,8857.3955,8711.415,8390.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1993-12-31,9520.0,9733.824,10040.275,9956.523,9556.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1994-03-31,7404.0,8453.492,8656.237,8595.27,7840.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1994-06-30,8088.0,8784.856,9279.152,9297.14,8294.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1994-09-30,8088.0,8598.046,9217.9,9096.107,8390.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q101,1994-12-31,9194.0,9609.365,10392.918,10301.766,9556.0,0,Non-anomalies,Non-stationary,Non-seasonal
Q102,1993-03-31,6022.2,5633.7236,5613.1055,5614.5156,5660.4,0,Non-anomalies,Non-stationary,Seasonal
Q102,1993-06-30,7329.0,5786.695,5705.6655,5713.994,5661.8,1,Anomalies,Non-stationary,Seasonal
Q102,1993-09-30,7617.1,5785.4717,5841.7324,5801.2417,5712.9,1,Anomalies,Non-stationary,Seasonal
Q102,1993-12-31,7596.8,5679.886,5878.0796,5771.5605,5591.8,1,Anomalies,Non-stationary,Seasonal
Q102,1994-03-31,7481.6,5763.9087,5895.7876,5787.245,5660.4,1,Anomalies,Non-stationary,Seasonal
Q102,1994-06-30,5922.1,5912.618,6040.2354,5835.606,5661.8,0,Non-anomalies,Non-stationary,Seasonal
Q102,1994-09-30,7692.6,5936.239,6101.7954,5960.073,5712.9,1,Anomalies,Non-stationary,Seasonal
Q102,1994-12-31,7578.6,5804.7324,6070.5107,5918.8584,5591.8,1,Anomalies,Non-stationary,Seasonal
Q103,1993-03-31,2400.0,2213.3137,2082.6882,2189.1602,1764.0,1,Anomalies,Non-stationary,Seasonal
Q103,1993-06-30,2452.0,2610.0552,2479.2468,2827.3425,2738.0,0,Non-anomalies,Non-stationary,Seasonal
Q103,1993-09-30,2390.0,2223.636,2042.9202,2257.262,1866.0,0,Non-anomalies,Non-stationary,Seasonal
Q103,1993-12-31,2348.0,2249.6548,2159.886,2139.234,2038.0,0,Non-anomalies,Non-stationary,Seasonal
Q103,1994-03-31,2480.0,2457.7097,2205.4966,2269.0132,1764.0,0,Non-anomalies,Non-stationary,Seasonal
Q103,1994-06-30,2678.0,2877.9534,2539.545,2901.4602,2738.0,0,Non-anomalies,Non-stationary,Seasonal
Q103,1994-09-30,2666.0,2482.6948,2187.3481,2383.1523,1866.0,0,Non-anomalies,Non-stationary,Seasonal
Q103,1994-12-31,3238.0,2562.6138,2224.7273,2210.4146,2038.0,1,Anomalies,Non-stationary,Seasonal
Q104,1993-03-31,2905.0,2848.4575,2861.8984,2870.2002,2652.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1993-06-30,2747.0,2776.227,2809.008,2975.2476,2800.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1993-09-30,3018.0,3345.701,3353.7922,3285.6902,3133.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1993-12-31,3612.0,4079.5835,4010.9343,3964.9702,3850.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1994-03-31,2971.0,2984.493,2984.3445,2939.6787,2652.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1994-06-30,2990.0,2936.192,2964.4348,3103.8079,2800.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1994-09-30,4194.0,3513.7297,3477.7742,3438.4072,3133.0,0,Non-anomalies,Non-stationary,Seasonal
Q104,1994-12-31,4535.0,4187.1567,4098.4033,4038.5078,3850.0,0,Non-anomalies,Non-stationary,Seasonal
Q105,1993-03-31,2254.0,2686.726,2482.32,2539.0798,2170.0,0,Non-anomalies,Stationary,Seasonal
Q105,1993-06-30,2660.0,3001.1611,2566.0159,2795.3809,2486.0,0,Non-anomalies,Stationary,Seasonal
Q105,1993-09-30,2370.0,2915.9116,2500.0955,2597.9849,2364.0,0,Non-anomalies,Stationary,Seasonal
Q105,1993-12-31,2890.0,2869.6584,2463.535,2776.3875,2642.0,0,Non-anomalies,Stationary,Seasonal
Q105,1994-03-31,2226.0,2943.803,2510.17,2643.5105,2170.0,0,Non-anomalies,Stationary,Seasonal
Q105,1994-06-30,2612.0,3273.7305,2634.2097,2974.5515,2486.0,0,Non-anomalies,Stationary,Seasonal
Q105,1994-09-30,2478.0,3176.2075,2568.057,2705.346,2364.0,0,Non-anomalies,Stationary,Seasonal
Q105,1994-12-31,2378.0,3164.924,2543.8591,2899.6648,2642.0,0,Non-anomalies,Stationary,Seasonal
Q106,1992-06-30,5349.2,5614.0337,5564.8066,5620.3228,5476.0,0,Non-anomalies,Stationary,Seasonal
Q106,1992-09-30,5047.8,5610.348,5538.6914,5567.8057,5183.8,0,Non-anomalies,Stationary,Seasonal
Q106,1992-12-31,5567.6,5753.8115,5758.829,5799.7725,5763.4,0,Non-anomalies,Stationary,Seasonal
Q106,1993-03-31,5224.6,5745.785,5837.347,5817.8745,5592.8,0,Non-anomalies,Stationary,Seasonal
Q106,1993-06-30,5658.6,5775.994,5838.128,5760.7983,5476.0,0,Non-anomalies,Stationary,Seasonal
Q106,1993-09-30,5675.4,5728.3833,5905.6133,5651.4326,5183.8,0,Non-anomalies,Stationary,Seasonal
Q106,1993-12-31,5851.6,5859.603,5955.482,5955.1943,5763.4,0,Non-anomalies,Stationary,Seasonal
Q106,1994-03-31,5644.2,5841.1787,5974.1133,5899.505,5592.8,0,Non-anomalies,Stationary,Seasonal
Q107,1993-03-31,4040.0,4148.9995,4183.0063,4236.172,3719.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1993-06-30,4287.0,4021.9749,4301.092,4544.145,3967.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1993-09-30,4625.0,4566.107,4864.924,4837.5234,4340.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1993-12-31,6281.0,5875.609,6270.481,6185.598,5901.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1994-03-31,4465.0,4290.8174,4471.009,4447.719,3719.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1994-06-30,4802.0,4173.8843,4729.0654,4774.485,3967.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1994-09-30,5046.0,4721.6064,5211.4688,5127.147,4340.0,0,Non-anomalies,Non-stationary,Seasonal
Q107,1994-12-31,6998.0,5935.859,6546.0005,6354.0527,5901.0,0,Non-anomalies,Non-stationary,Seasonal
Q108,1992-06-30,6316.2,5358.2417,5401.1943,5576.6235,5577.9,0,Non-anomalies,Non-stationary,Seasonal
Q108,1992-09-30,6148.2,5106.731,5177.863,5285.1675,5260.8,0,Non-anomalies,Non-stationary,Seasonal
Q108,1992-12-31,6525.6,5501.4385,5552.878,5847.0723,5688.0,0,Non-anomalies,Non-stationary,Seasonal
Q108,1993-03-31,5180.4,4725.085,4465.148,4725.528,4270.5,0,Non-anomalies,Non-stationary,Seasonal
Q108,1993-06-30,7380.6,5442.5796,5793.725,5817.407,5577.9,0,Non-anomalies,Non-stationary,Seasonal
Q108,1993-09-30,6979.8,5213.869,5424.891,5631.8555,5260.8,0,Non-anomalies,Non-stationary,Seasonal
Q108,1993-12-31,7548.6,5653.6445,5991.09,6144.842,5688.0,0,Non-anomalies,Non-stationary,Seasonal
Q108,1994-03-31,6318.9,4827.2476,4786.016,5098.2837,4270.5,0,Non-anomalies,Non-stationary,Seasonal
Q109,1993-03-31,4057.5,4006.9597,4026.7092,4030.1353,3852.9,0,Non-anomalies,Non-stationary,Seasonal
Q109,1993-06-30,3628.7,3868.879,3765.1262,3888.8267,3639.2,0,Non-anomalies,Non-stationary,Seasonal
Q109,1993-09-30,3719.7,4002.5903,3938.8865,3880.0784,3725.9,0,Non-anomalies,Non-stationary,Seasonal
Q109,1993-12-31,4411.8,4352.084,4267.322,4269.4004,4125.5,0,Non-anomalies,Non-stationary,Seasonal
Q109,1994-03-31,4299.9,4210.0376,4156.472,4146.3955,3852.9,0,Non-anomalies,Non-stationary,Seasonal
Q109,1994-06-30,4123.4,4087.461,3931.064,3959.8335,3639.2,0,Non-anomalies,Non-stationary,Seasonal
Q109,1994-09-30,4266.5,4182.2876,4043.144,3975.7563,3725.9,0,Non-anomalies,Non-stationary,Seasonal
Q109,1994-12-31,4789.0,4518.0156,4396.077,4378.785,4125.5,0,Non-anomalies,Non-stationary,Seasonal
Q11,1993-03-31,5921.4,5515.4927,5472.13,5494.0337,5228.5,1,Anomalies,Non-stationary,Seasonal
Q11,1993-06-30,5837.9,5515.2363,5506.587,5542.753,5258.55,1,Anomalies,Non-stationary,Seasonal
Q11,1993-09-30,5981.7,5616.138,5572.9814,5638.956,5395.45,1,Anomalies,Non-stationary,Seasonal
Q11,1993-12-31,6146.8,5659.466,5648.1343,5693.108,5475.2,1,Anomalies,Non-stationary,Seasonal
Q11,1994-03-31,6111.9,5709.2554,5657.1562,5700.7227,5228.5,1,Anomalies,Non-stationary,Seasonal
Q11,1994-06-30,6226.35,5695.154,5679.556,5742.9536,5258.55,1,Anomalies,Non-stationary,Seasonal
Q11,1994-09-30,6308.9,5783.7397,5744.2983,5833.021,5395.45,1,Anomalies,Non-stationary,Seasonal
Q11,1994-12-31,6431.1,5802.3223,5816.7764,5875.783,5475.2,1,Anomalies,Non-stationary,Seasonal
Q110,1993-03-31,8748.5,8971.849,9010.749,9009.463,8958.3,0,Non-anomalies,Non-stationary,Seasonal
Q110,1993-06-30,8351.7,8839.788,8928.351,8965.459,8649.0,0,Non-anomalies,Non-stationary,Seasonal
Q110,1993-09-30,9762.5,9354.567,9345.699,9572.564,9115.5,0,Non-anomalies,Non-stationary,Seasonal
Q110,1993-12-31,8689.5,8761.71,9198.885,9249.144,8858.7,0,Non-anomalies,Non-stationary,Seasonal
Q110,1994-03-31,8995.9,9130.49,9375.85,9391.067,8958.3,0,Non-anomalies,Non-stationary,Seasonal
Q110,1994-06-30,8726.9,8941.905,9506.568,9348.541,8649.0,0,Non-anomalies,Non-stationary,Seasonal
