unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status,trend_str,seas_str
Y1,1991-12-31,6876.58,6446.3174,6646.057,6725.9243,6158.68,0,Non-anomalies,Non-stationary,Seasonal
Y1,1992-12-31,7851.91,6541.6646,6844.152,7166.242,6158.68,1,Anomalies,Non-stationary,Seasonal
Y1,1993-12-31,8407.84,6718.3623,7134.4404,7641.666,6158.68,1,Anomalies,Non-stationary,Seasonal
Y1,1994-12-31,9156.01,6867.548,7476.545,7983.3877,6158.68,1,Anomalies,Non-stationary,Seasonal
Y10,1991-12-31,8751.0,10448.764,10308.428,10296.205,10173.0,0,Non-anomalies,Non-stationary,Seasonal
Y10,1992-12-31,3472.0,10641.986,10465.442,10508.171,10173.0,1,Anomalies,Non-stationary,Seasonal
Y10,1993-12-31,3187.0,10890.93,10681.512,10708.15,10173.0,1,Anomalies,Non-stationary,Seasonal
Y10,1994-12-31,3058.0,11127.624,10828.382,10874.599,10173.0,1,Anomalies,Non-stationary,Seasonal
Y100,1991-12-31,3157.0,3253.8582,3272.4219,3348.634,3145.0,0,Non-anomalies,Non-stationary,Seasonal
Y100,1992-12-31,3463.0,3302.7297,3221.9663,3450.3103,3145.0,0,Non-anomalies,Non-stationary,Seasonal
Y100,1993-12-31,3539.0,3378.8374,3212.8123,3527.2065,3145.0,0,Non-anomalies,Non-stationary,Seasonal
Y100,1994-12-31,4167.0,3446.894,3327.3882,3634.2297,3145.0,0,Non-anomalies,Non-stationary,Seasonal
Y101,1991-12-31,7448.0,7791.6416,7765.368,7559.3936,7808.0,0,Non-anomalies,Non-stationary,Seasonal
Y101,1992-12-31,8869.0,7817.8345,7470.59,7425.3433,7808.0,0,Non-anomalies,Non-stationary,Seasonal
Y101,1993-12-31,8302.0,7914.149,7254.221,7396.2114,7808.0,0,Non-anomalies,Non-stationary,Seasonal
Y101,1994-12-31,9070.0,7833.259,7325.362,7372.996,7808.0,0,Non-anomalies,Non-stationary,Seasonal
Y102,1991-12-31,1809.7,2102.2551,2155.607,2119.388,2064.8,0,Non-anomalies,Stationary,Seasonal
Y102,1992-12-31,1640.3,2137.266,2258.207,2176.6392,2064.8,0,Non-anomalies,Stationary,Seasonal
Y102,1993-12-31,1937.0,2170.2117,2345.6836,2230.7346,2064.8,0,Non-anomalies,Stationary,Seasonal
Y102,1994-12-31,2370.7,2215.4744,2426.2666,2270.7998,2064.8,0,Non-anomalies,Stationary,Seasonal
Y103,1991-12-31,4120.0,5143.4746,4979.314,5086.119,5140.0,0,Non-anomalies,Stationary,Seasonal
Y103,1992-12-31,3780.0,5142.5317,5071.1636,5063.229,5140.0,0,Non-anomalies,Stationary,Seasonal
Y103,1993-12-31,3980.0,5141.7515,5306.841,5003.4453,5140.0,0,Non-anomalies,Stationary,Seasonal
