unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status
M1,481,7370.0,8187.7915,8093.6523,7414.1025,9370.0,0,Non-anomalies
M10,378,5330.0,6592.3447,6585.714,6569.7915,7430.0,1,Anomalies
M100,304,2275.2,2197.8325,2198.3997,2190.375,2156.2,0,Non-anomalies
M1000,342,1430.0,1417.9646,1318.6144,1289.9542,1550.0,0,Non-anomalies
M10000,81,2600.0,2786.638,2682.4946,2651.189,2360.0,0,Non-anomalies
M10001,81,5800.0,6412.1797,6140.169,6080.708,6100.0,0,Non-anomalies
M10002,81,1360.0,1307.4019,1365.8309,1358.6226,1140.0,0,Non-anomalies
M10003,81,1420.0,1110.2515,1128.6133,1107.8389,1380.0,0,Non-anomalies
M10004,81,1310.0,1652.9032,1642.5955,1649.9038,1620.0,0,Non-anomalies
M10005,81,1240.0,1444.12,1485.9775,1447.0247,1740.0,0,Non-anomalies
M10006,81,2400.0,3560.3523,3516.3076,3501.555,4540.0,0,Non-anomalies
M10007,81,1440.0,1308.4589,1302.3871,1288.419,1290.0,0,Non-anomalies
M10008,81,930.0,1153.594,1144.5266,1127.0228,1390.0,0,Non-anomalies
M10009,81,940.0,1471.644,1478.8159,1391.1528,1470.0,0,Non-anomalies
M1001,318,2170.0,2149.86,2140.3467,2152.1995,2140.0,0,Non-anomalies
M10010,81,1500.0,1214.392,1147.341,1101.2891,1790.0,0,Non-anomalies
M10011,81,860.0,927.964,937.19617,896.8043,1260.0,0,Non-anomalies
M10012,81,950.0,922.08075,871.1679,871.6582,970.0,0,Non-anomalies
M10013,81,1720.0,1721.569,1680.8812,1641.0554,2000.0,0,Non-anomalies
M10014,81,980.0,1273.2866,1273.4574,1230.8888,1080.0,0,Non-anomalies
M10015,81,500.0,619.66376,589.8379,540.81104,610.0,0,Non-anomalies
M10016,81,720.0,946.9973,910.2228,926.14276,1060.0,0,Non-anomalies
M10017,523,12196.66,11751.335,11723.34,11723.469,10304.65,1,Anomalies
M10018,340,1085.768,1081.946,1079.1091,1079.901,984.086,0,Non-anomalies
M10019,340,1028.973,1000.9793,997.7943,998.0843,896.49,0,Non-anomalies
M1002,318,2960.0,2958.9663,2961.9805,2949.0117,2840.0,0,Non-anomalies
M10020,340,10107.16,9973.951,9938.174,9922.962,8817.41,0,Non-anomalies
M10021,340,11109.69,10502.619,10476.011,10466.733,9327.4,1,Anomalies
M10022,340,1150.128,1116.8016,1113.3313,1113.6627,1006.229,0,Non-anomalies
M10023,340,1123.402,1122.8604,1116.7793,1115.8981,989.597,0,Non-anomalies
M10024,340,1077.678,1068.5737,1066.7206,1066.3394,969.814,0,Non-anomalies
M10025,340,8219.25,8273.574,8218.094,8209.995,7813.62,0,Non-anomalies
M10026,340,1029.407,1004.1762,1000.8331,1001.6102,896.473,1,Anomalies
M10027,340,1192.399,1191.9031,1186.8141,1185.8873,1044.687,0,Non-anomalies
M10028,340,1168.62,1136.012,1129.922,1131.3102,1000.554,1,Anomalies
M10029,340,1079.96,1049.8981,1048.4233,1048.4512,963.298,0,Non-anomalies
M1003,318,1938.0,1847.0242,1847.5623,1851.247,1800.0,1,Anomalies
M10030,340,1161.233,1138.4424,1132.5571,1132.5841,986.321,1,Anomalies
M10031,340,1092.627,1064.5599,1060.6212,1061.5557,953.794,0,Non-anomalies
M10032,340,1091.072,1073.6565,1068.7058,1068.9786,942.185,0,Non-anomalies
M10033,340,990.13,976.7006,973.8757,972.89026,900.382,0,Non-anomalies
M10034,340,1200.863,1190.1812,1183.4027,1182.4775,1044.888,0,Non-anomalies
M10035,340,1101.587,1094.9923,1088.1132,1087.9808,971.916,0,Non-anomalies
M10036,340,1129.364,1106.4077,1100.6843,1103.4751,984.211,0,Non-anomalies
M10037,340,1073.114,1034.1338,1029.33,1032.127,918.459,1,Anomalies
M10038,340,1142.01,1115.0096,1110.9263,1111.874,994.714,0,Non-anomalies
M10039,340,1086.331,1051.1058,1046.7358,1047.9067,930.916,1,Anomalies
M1004,318,11120.0,11015.804,10954.638,10902.088,10740.0,0,Non-anomalies
M10040,340,9330.4,9169.833,9120.368,9114.913,8348.56,0,Non-anomalies
M10041,340,1089.41,1066.5898,1063.0334,1063.7249,961.78,0,Non-anomalies
M10042,340,1035.245,1015.6284,1012.08386,1012.83026,908.299,1,Anomalies
M10043,340,1073.104,1053.0532,1045.6764,1050.0156,934.236,0,Non-anomalies
M10044,340,1137.914,1107.7815,1103.2161,1105.4851,988.131,1,Anomalies
M10045,340,1133.124,1114.8628,1110.8732,1111.524,995.765,0,Non-anomalies
M10046,340,1076.744,1066.9956,1063.7217,1062.4651,955.182,0,Non-anomalies
M10047,340,1249.43,1195.8429,1190.9086,1191.9073,1051.738,1,Anomalies
M10048,340,1090.317,1070.5713,1067.2887,1067.3171,982.592,0,Non-anomalies
M10049,340,1066.597,1057.6952,1055.0862,1054.2734,959.97,0,Non-anomalies
M1005,318,3870.0,3855.3179,3824.7363,3852.8394,3870.0,0,Non-anomalies
M10050,340,1113.405,1080.5991,1075.1819,1076.8248,955.711,1,Anomalies
M10051,340,9729.65,9557.03,9510.931,9498.518,8575.43,0,Non-anomalies
M10052,340,1094.809,1067.5159,1065.3883,1065.9578,993.117,0,Non-anomalies
M10053,340,1105.906,1080.2952,1075.2876,1075.8832,951.198,1,Anomalies
M10054,340,1056.198,1041.8813,1034.5719,1034.7415,932.114,0,Non-anomalies
M10055,340,1155.966,1138.887,1132.0092,1132.2466,1015.07,0,Non-anomalies
M10056,340,1248.78,1192.0278,1186.9937,1190.4138,1062.661,1,Anomalies
M10057,340,1106.546,1076.5868,1071.6174,1073.3628,954.67,1,Anomalies
M10058,340,9087.02,8658.781,8629.67,8627.521,7803.65,1,Anomalies
M10059,340,1071.087,1047.7877,1044.6268,1045.1792,961.792,0,Non-anomalies
M1006,318,1333.0,1293.5641,1287.6279,1289.4802,1269.0,0,Non-anomalies
M10060,340,1210.008,1177.8021,1173.4454,1176.1318,1071.161,0,Non-anomalies
M10061,340,1100.85,1077.4563,1075.0048,1075.8055,1005.817,0,Non-anomalies
M10062,340,1136.363,1103.4199,1098.4319,1100.4409,980.934,1,Anomalies
M10063,340,1109.592,1100.3344,1094.6913,1093.9647,953.303,0,Non-anomalies
M10064,340,1050.776,1045.7103,1040.7118,1042.456,947.69,0,Non-anomalies
M10065,522,9748.2,9369.286,9320.194,9338.098,8428.5,0,Non-anomalies
M10066,522,1051.95,985.4829,981.76447,983.4032,921.12,0,Non-anomalies
M10067,689,32095.0,29859.898,29761.96,29926.465,28216.0,1,Anomalies
M10068,689,12672.6,11917.699,11900.426,11917.647,11303.5,1,Anomalies
M10069,689,12049.0,11156.1,11127.139,11138.934,10607.0,1,Anomalies
M1007,318,3250.0,3152.241,3145.5105,3158.3782,3100.0,0,Non-anomalies
M10070,471,6883.7,6286.424,6254.0,6254.874,5868.54,1,Anomalies
M10071,560,5762.6,5300.841,5281.2534,5279.2676,4816.6,1,Anomalies
M10072,689,14071.7,13208.689,13187.52,13222.567,12480.3,1,Anomalies
M10073,521,17250.67,16681.873,16659.963,16633.467,15834.578,1,Anomalies
M10074,83,2073.463,2187.7285,2114.2864,2120.3237,1947.722,0,Non-anomalies
M10075,83,2119.667,2300.2769,2237.9607,2244.835,1779.447,0,Non-anomalies
M10076,521,17211.346,16639.658,16616.043,16589.97,15793.61,1,Anomalies
M10077,83,1275.514,1435.4115,1401.1359,1393.6594,1147.938,0,Non-anomalies
M10078,83,1280.435,1502.027,1483.0175,1482.7134,985.535,0,Non-anomalies
