unique_id,ds,y,NBeatsMoe,NBEATS,NBeatsStackMoe,SeasonalNaive,is_anomaly,anomaly_status
Q1,29,6765.9140142966,6889.4473,6819.613,6852.485,6702.855568509,0,Non-anomalies
Q1,33,6981.3041052596,6897.819,6835.101,6836.785,6636.5164505456,0,Non-anomalies
Q10,63,2563.8,2562.5835,2563.8088,2549.4253,2505.5,0,Non-anomalies
Q10,67,2581.8,2567.9167,2562.1106,2552.701,2513.9,0,Non-anomalies
Q100,67,6690.0,6956.4556,6888.959,6901.348,7015.0,0,Non-anomalies
Q100,71,6689.0,6922.271,6882.0747,6870.9946,6925.0,0,Non-anomalies
Q1000,71,14170.8,14017.579,13911.008,13949.67,13282.8,0,Non-anomalies
Q1000,75,14914.0,14183.244,14064.672,14134.283,13485.2,0,Non-anomalies
Q10000,41,12992.0,12374.576,12415.882,12349.086,11256.0,0,Non-anomalies
Q10000,45,12371.0,12618.319,12697.54,12598.659,11736.0,0,Non-anomalies
Q10001,41,10391.0,9795.079,9756.671,9738.384,8969.0,1,Anomalies
Q10001,45,10675.0,9925.835,9923.919,9879.677,9091.0,1,Anomalies
Q10002,41,13110.0,12733.318,12690.103,12666.291,11671.0,0,Non-anomalies
Q10002,45,13896.0,12972.633,12965.209,12924.4,11913.0,1,Anomalies
Q10003,41,8574.0,8090.6763,8114.5425,8092.5312,7537.0,0,Non-anomalies
Q10003,45,8894.0,8244.553,8240.874,8217.889,7866.0,0,Non-anomalies
Q10004,41,5863.0,5961.14,5999.135,5961.9956,5783.0,0,Non-anomalies
Q10004,45,6790.0,5976.393,6045.565,6038.754,5441.0,1,Anomalies
Q10005,41,13772.0,13364.928,13418.842,13379.652,12047.0,0,Non-anomalies
Q10005,45,14894.0,13465.004,13709.797,13608.366,12253.0,1,Anomalies
Q10006,41,4725.0,4630.554,4597.3945,4580.8145,4150.0,0,Non-anomalies
Q10006,45,4786.0,4761.7983,4740.822,4745.212,4393.0,0,Non-anomalies
Q10007,41,5815.0,5549.73,5565.84,5574.9014,5182.0,0,Non-anomalies
Q10007,45,5992.0,5645.2236,5678.638,5659.4766,5429.0,0,Non-anomalies
Q10008,41,9064.0,8183.1523,8205.027,8150.9824,7919.0,0,Non-anomalies
Q10008,45,9470.0,8251.276,8300.022,8232.971,7980.0,1,Anomalies
Q10009,41,7680.0,7444.5054,7412.4307,7438.2866,7483.0,0,Non-anomalies
Q10009,45,7833.0,7490.108,7492.781,7516.0225,7201.0,0,Non-anomalies
Q1001,71,6463.4,7510.5,7444.257,7455.0024,7483.2,0,Non-anomalies
Q1001,75,5578.68,7519.9824,7497.44,7487.6245,7403.96,1,Anomalies
Q10010,41,7255.0,6921.955,6913.539,6884.178,6601.0,0,Non-anomalies
Q10010,45,7217.0,7034.8247,7003.495,6968.1,6701.0,0,Non-anomalies
Q10011,41,12174.0,12304.805,12283.718,12302.454,11249.0,0,Non-anomalies
Q10011,45,12856.0,12587.552,12547.652,12540.36,11553.0,0,Non-anomalies
Q10012,41,10962.0,11201.84,11242.434,11153.731,10174.0,0,Non-anomalies
Q10012,45,12222.0,11376.787,11424.817,11334.064,10507.0,1,Anomalies
Q10013,41,8879.0,8571.997,8534.036,8533.126,7959.0,0,Non-anomalies
Q10013,45,9324.0,8726.204,8689.384,8677.766,8081.0,0,Non-anomalies
Q10014,41,1565.9,1510.2314,1504.823,1499.6757,1387.4,0,Non-anomalies
Q10014,45,1662.3,1535.4076,1533.6548,1527.4292,1406.8,1,Anomalies
Q10015,41,13543.0,12360.143,12398.892,12310.541,11704.0,0,Non-anomalies
Q10015,45,13332.0,12533.092,12612.583,12499.615,11921.0,0,Non-anomalies
Q10016,41,1475.1,1451.7634,1454.3046,1448.8683,1332.3,0,Non-anomalies
Q10016,45,1526.9,1479.2893,1485.9688,1481.3634,1367.5,0,Non-anomalies
Q10017,41,12916.0,12532.6875,12571.046,12526.081,11709.0,0,Non-anomalies
Q10017,45,14180.0,12738.387,12839.45,12743.046,12021.0,1,Anomalies
Q10018,41,1539.4,1515.0742,1509.2874,1507.6854,1369.4,0,Non-anomalies
Q10018,45,1596.9,1549.9401,1548.0754,1548.565,1402.7,0,Non-anomalies
Q10019,41,1725.7,1666.5563,1674.9303,1665.6068,1537.7,0,Non-anomalies
Q10019,45,1840.5,1690.7421,1705.9806,1698.679,1547.7,1,Anomalies
Q1002,71,3698.12,3630.7673,3611.4043,3596.9436,3272.64,1,Anomalies
Q1002,75,3971.79,3690.3713,3694.0454,3636.8215,3509.0,1,Anomalies
Q10020,41,1451.8,1399.599,1389.5607,1391.8762,1243.3,0,Non-anomalies
Q10020,45,1546.9,1425.324,1411.5999,1418.0049,1288.8,1,Anomalies
Q10021,41,12830.0,13433.3955,13326.732,13476.587,12090.0,0,Non-anomalies
Q10021,45,13836.0,13503.027,13567.949,13738.1455,12172.0,0,Non-anomalies
Q10022,41,12731.0,12987.625,12956.846,13019.132,11675.0,0,Non-anomalies
Q10022,45,13047.0,12998.401,13134.395,13237.04,11520.0,0,Non-anomalies
Q10023,41,1586.4,1572.8722,1563.124,1564.5536,1352.9,0,Non-anomalies
Q10023,45,1681.0,1612.7072,1595.1722,1602.8351,1408.3,1,Anomalies
Q10024,41,1797.9,1780.5168,1785.6538,1783.187,1656.2,0,Non-anomalies
Q10024,45,1944.6,1812.9233,1831.5526,1825.4788,1672.6,0,Non-anomalies
Q10025,41,1697.9,1685.9866,1683.4094,1682.8022,1565.5,0,Non-anomalies
Q10025,45,1860.8,1716.242,1716.681,1716.092,1565.2,1,Anomalies
Q10026,41,1464.3,1338.8573,1335.6692,1332.9678,1269.4,0,Non-anomalies
Q10026,45,1437.8,1357.4767,1360.1373,1356.5897,1286.0,0,Non-anomalies
Q10027,41,1309.8,1392.988,1385.806,1387.835,1259.8,0,Non-anomalies
Q10027,45,1416.2,1411.0448,1417.3019,1421.3877,1264.7,0,Non-anomalies
Q10028,41,1571.1,1513.2748,1508.2014,1503.1382,1391.8,0,Non-anomalies
Q10028,45,1666.2,1539.0272,1537.1188,1531.092,1412.3,1,Anomalies
Q10029,41,1738.1,1674.3698,1683.2837,1674.699,1555.9,0,Non-anomalies
Q10029,45,1863.5,1696.3568,1714.0426,1705.93,1571.6,1,Anomalies
Q1003,71,6127.32,5981.0537,5952.79,5937.843,5545.72,1,Anomalies
Q1003,75,6413.93,6034.264,6023.908,6018.4834,5593.0,1,Anomalies
Q10030,41,1454.8,1504.3257,1486.3556,1489.594,1312.9,0,Non-anomalies
Q10030,45,1512.4,1540.9846,1514.6926,1520.3525,1395.9,0,Non-anomalies
Q10031,41,11312.0,11536.145,11620.829,11532.29,10543.0,0,Non-anomalies
Q10031,45,12669.0,11746.522,11826.592,11734.607,11045.0,0,Non-anomalies
Q10032,41,1700.6,1655.1458,1646.6252,1637.9882,1452.0,0,Non-anomalies
Q10032,45,1682.7,1693.2673,1685.3146,1676.9362,1528.9,0,Non-anomalies
Q10033,41,13261.0,13369.885,13352.232,13374.11,12060.0,0,Non-anomalies
Q10033,45,13548.0,13394.421,13554.716,13621.119,11955.0,0,Non-anomalies
Q10034,41,1584.0,1552.1143,1546.3274,1545.0598,1412.2,0,Non-anomalies
Q10034,45,1647.7,1587.3994,1582.971,1584.2848,1443.0,0,Non-anomalies
Q10035,41,1818.0,1697.3109,1690.7814,1683.6389,1578.6,0,Non-anomalies
