dataset,freq,gate_type,smape,mae,mse,mase,random_seed
m3,Monthly,conv1d-aap,0.1403645767938171,623.2280017318037,1380897.2236239435,0.7117077224397711,521
m3,Yearly,conv1d-aap,0.1662844680828015,974.3257835526182,2718424.3201576485,1.7587550716849458,867
m3,Yearly,conv1d-aap,0.1628339214528164,956.8139702325076,2733110.314011106,1.72714450465382,256
m3,Yearly,conv1d-aap,0.1646320906428238,969.3392262413952,2778913.675768309,1.7497538391306935,737
m3,Yearly,conv1d-aap,0.1667176297295065,970.7853699228845,2682500.429510996,1.752364272496144,464
m3,Yearly,conv1d-aap,0.1670294443912753,978.9300616660104,2796336.957488905,1.7670662522162155,170
m3,Yearly,conv1d-aap,0.1653810743230191,963.071849557645,2676361.9576212754,1.7384406000531911,47
m3,Yearly,conv1d-aap,0.1646540860389518,964.3302340040576,2722126.690706408,1.740712109300527,194
m3,Yearly,conv1d-aap,0.1681843430532545,984.037588443884,2826489.978643013,1.7762858467050304,334
m3,Yearly,conv1d-aap,0.1683541294995825,983.503031778656,2741791.3898558742,1.775320918688197,974
m3,Yearly,conv1d-aap,0.1658656817258906,967.4955333967972,2682651.1197653324,1.7464257899342095,600
m3,Monthly,conv1d-aap,0.1394989244699835,618.9867549574965,1404327.3856942412,0.7068643455798427,311
m3,Monthly,conv1d-aap,0.1399660915497284,621.3894463336754,1362293.8512075974,0.7096081472099272,482
m3,Quarterly,conv1d-aap,0.0923180866720204,490.439304945204,836905.8396719984,0.7811997829424284,360
m3,Monthly,conv1d-aap,0.1404694680534619,623.2153199864472,1393662.6668355158,0.7116932402661859,825
m3,Monthly,conv1d-aap,0.1393778690365173,618.5376112589166,1406421.476701212,0.7063514369206101,397
m3,Quarterly,conv1d-aap,0.0924672504235156,493.801146966036,833701.9960898111,0.7865547172441443,868
m3,Monthly,conv1d-aap,0.140859816411806,626.0435295511264,1393077.658362034,0.7149229709301916,51
m3,Quarterly,nbeats,0.0929478580854097,499.14786931436527,843374.1868595484,0.7950712824864731,819
m3,Quarterly,nbeats,0.0887531686389754,474.9639231367969,817050.291343116,0.756549709451623,710
m3,Quarterly,nbeats,0.09075761228769991,485.87683475232,844277.9886820132,0.7739324194003476,31
