model_name,dataset,freq,nr_of_parameters,nr_experts,top_k,average_active_parameters
nbeats,gluonts_m1_quarterly,Q,152622.0,,,152622.0
nbeatsmoe,gluonts_m1_quarterly,Q,1220910.0,8,4,610455.0
nbeatsmoeshared,gluonts_m1_quarterly,Q,4719.0,4,2,2831.4
nbeatsstackmoe,gluonts_m1_quarterly,Q,39493.0,,,39493.0
nbeats,gluonts_m1_monthly,M,4330.0,,,4330.0
nbeatsmoe,gluonts_m1_monthly,M,1285252.0,8,2,321313.0
nbeatsmoeshared,gluonts_m1_monthly,M,6295.0,8,4,3497.22
nbeatsstackmoe,gluonts_m1_monthly,M,161164.0,,,161164.0
nbeats,gluonts_m1_yearly,Y,2377768.0,,,2377768.0
nbeatsmoe,gluonts_m1_yearly,Y,2563.0,8,2,640.75
nbeatsmoeshared,gluonts_m1_yearly,Y,2740.0,2,1,1826.67
nbeatsstackmoe,gluonts_m1_yearly,Y,406.0,,,406.0
nbeats,gluonts_tourism_monthly,M,642694.0,,,642694.0
nbeatsmoe,gluonts_tourism_monthly,M,201118.0,4,4,201118.0
nbeatsmoeshared,gluonts_tourism_monthly,M,1561071.0,8,8,1561071.0
nbeatsstackmoe,gluonts_tourism_monthly,M,9644152.0,,,9644152.0
nbeats,gluonts_tourism_quarterly,Q,1386.0,,,1386.0
nbeatsmoe,gluonts_tourism_quarterly,Q,165848.0,4,2,82924.0
nbeatsmoeshared,gluonts_tourism_quarterly,Q,11031.0,8,2,3677.0
nbeatsstackmoe,gluonts_tourism_quarterly,Q,1484.0,,,1484.0
nbeats,gluonts_tourism_yearly,Y,2382936.0,,,2382936.0
nbeatsmoe,gluonts_tourism_yearly,Y,1227129.0,8,2,306782.25
nbeatsmoeshared,gluonts_tourism_yearly,Y,8934.0,8,1,1985.33
nbeatsstackmoe,gluonts_tourism_yearly,Y,153510.0,,,153510.0
nbeats,m3,M,181326.0,,,181326.0
nbeatsmoe,m3,M,61500.0,4,4,61500.0
nbeatsmoeshared,m3,M,1963089.0,2,2,1963089.0
nbeatsstackmoe,m3,M,676147.0,,,676147.0
nbeats,m3,Q,612162.0,,,612162.0
nbeatsmoe,m3,Q,4840.0,8,8,4840.0
nbeatsmoeshared,m3,Q,39909.0,2,1,26606.0
nbeatsstackmoe,m3,Q,12549.0,,,12549.0
nbeats,m3,Y,1314.0,,,1314.0
nbeatsmoe,m3,Y,3992.0,8,1,499.0
nbeatsmoeshared,m3,Y,10845.0,8,2,3615.0
nbeatsstackmoe,m3,Y,3724.0,,,3724.0
