model_name,dataset,group,horizon,std_dev_smape,std_dev_mae,std_dev_mse,median_smape,median_mae,median_mse
nbeats,gluonts_m1_yearly,Y,2,0.0016917684143615,2171.8081373155464,11079660226.278929,0.0988979168660615,55334.49931872582,150062252965.0393
nbeats,gluonts_tourism_yearly,Y,4,0.0272518360816878,145.99300733605023,78904578.54721099,0.3942580494498084,83742.22734388166,664338454517.571
nbeats,gluonts_m1_monthly,M,8,0.0028480579932267,41.03082266099488,29107969.0932301,0.1458546443208767,1698.993942226818,316296189.0431066
nbeats,gluonts_tourism_quarterly,Q,8,0.0016320583478417,473.294440227343,1486588664.5960395,0.1919141198795857,12635.240697568695,11760614605.053354
nbeats,gluonts_m1_quarterly,Q,2,0.0020178864591833,72.40049478533464,10817632.109104147,0.1109662564171057,2386.2591655404112,174721939.6191401
nbeats,gluonts_tourism_monthly,M,18,0.0031724979666188,64.12248087761148,26465337.91604153,0.2430597949227805,3587.3111151729704,569992765.6810439
nbeatsmoe,gluonts_tourism_yearly,Y,4,0.0036665722299634,2114.3224378342,50075272557.04878,0.2950592530902999,108778.73607574304,1255910923414.786
nbeatsmoe,gluonts_m1_monthly,M,8,0.0010848373678632,49.67771644964792,52884703.34035584,0.1347951790254155,1900.069843130247,451150554.6451813
nbeatsmoe,gluonts_m1_yearly,Y,2,0.018070700559701,4581.53535227054,34124500708.44356,0.1139692763447447,54666.51572509892,163426114948.57373
nbeatsmoe,gluonts_tourism_quarterly,Q,8,0.0030680092027097,1203.850045574436,4326624149.298449,0.1986058270362919,13720.098759385406,16419067227.152067
nbeatsmoe,gluonts_m1_quarterly,Q,2,0.0033946643260366,82.99193738583632,12822090.274142276,0.1137658115595286,2310.3970023778274,163506223.0840263
nbeatsmoe,gluonts_tourism_monthly,M,18,0.0039590605196028,141.28514802073246,111101262.35986912,0.2437405106204563,3790.189706225504,723594120.5052547
nbeatsstackmoe,gluonts_m1_quarterly,Q,2,0.001028613329202,58.49176564773341,7142558.549053551,0.1117399477370154,2325.444260191888,165891021.9544806
nbeatsstackmoe,gluonts_tourism_monthly,M,18,0.0034111410628007,100.89489584316128,30797902.997734256,0.2381875831493815,3415.2622821640807,510031480.76265377
nbeatsstackmoe,gluonts_tourism_yearly,Y,4,0.0084381887869932,3420.7032888565072,61274289721.71224,0.2944457299663982,98678.52557095434,866532593879.3047
nbeatsstackmoe,gluonts_tourism_quarterly,Q,8,0.0099541622093802,751.8143063090547,2562691981.007758,0.1987987881808796,13114.50397379365,13045115294.53699
nbeatsstackmoe,gluonts_m1_monthly,M,8,0.0010839435787177,40.598061178651655,32063760.076965,0.1457985714088415,1737.4544311842392,335070058.7676757
nbeatsstackmoe,gluonts_m1_yearly,Y,2,0.1852993822818043,126905.97077915345,1661699977385.5603,0.1202416774613439,55195.430896425445,143278549267.36542
