unique_id,ds,y
ID0,1972-12-31,3600.0
ID0,1973-12-31,7700.0
ID0,1974-12-31,12300.0
ID0,1975-12-31,30500.0
ID0,1976-12-31,47390.0
ID0,1977-12-31,57006.0
ID0,1978-12-31,98563.0
ID0,1979-12-31,117759.0
ID0,1980-12-31,115097.0
ID0,1981-12-31,133759.0
ID0,1982-12-31,142485.0
ID0,1983-12-31,169611.0
ID0,1984-12-31,216229.0
ID0,1985-12-31,253227.0
ID0,1986-12-31,313096.0
ID0,1987-12-31,322681.0
ID0,1988-12-31,296245.0
ID0,1989-12-31,370333.0
ID0,1990-12-31,443826.0
ID0,1991-12-31,426751.0
ID1,1974-12-31,12654.0
ID1,1975-12-31,22879.0
ID1,1976-12-31,34164.0
ID1,1977-12-31,49524.0
ID1,1978-12-31,64761.0
ID1,1979-12-31,78199.0
ID1,1980-12-31,88626.0
ID1,1981-12-31,102168.0
ID1,1982-12-31,102758.0
ID1,1983-12-31,122442.0
ID1,1984-12-31,129900.0
ID1,1985-12-31,139706.0
ID1,1986-12-31,178858.0
ID1,1987-12-31,213162.0
ID1,1988-12-31,236026.0
ID1,1989-12-31,255542.0
ID1,1990-12-31,314269.0
ID1,1991-12-31,357822.0
ID1,1992-12-31,374755.0
ID1,1993-12-31,401439.0
ID1,1994-12-31,451875.0
ID10,1977-12-31,2075.0
ID10,1978-12-31,2359.0
ID10,1979-12-31,2101.0
ID10,1980-12-31,2371.0
ID10,1981-12-31,2700.0
ID10,1982-12-31,2850.0
ID10,1983-12-31,2994.0
ID10,1984-12-31,3192.0
ID10,1985-12-31,3309.0
ID10,1986-12-31,3481.0
ID10,1987-12-31,4041.0
ID10,1988-12-31,4348.0
ID10,1989-12-31,4499.0
ID10,1990-12-31,4869.0
ID10,1991-12-31,5309.0
ID10,1992-12-31,5681.0
ID10,1993-12-31,6335.0
ID10,1994-12-31,6725.0
ID10,1995-12-31,7168.0
ID100,1957-12-31,86.0
ID100,1958-12-31,86.0
ID100,1959-12-31,71.0
ID100,1960-12-31,66.0
ID100,1961-12-31,80.0
ID100,1962-12-31,87.0
ID100,1963-12-31,100.0
ID100,1964-12-31,101.0
ID100,1965-12-31,105.0
ID100,1966-12-31,102.0
ID100,1967-12-31,108.0
ID100,1968-12-31,119.0
ID100,1969-12-31,118.0
ID100,1970-12-31,113.0
ID100,1971-12-31,105.0
ID100,1972-12-31,105.0
ID100,1973-12-31,103.0
ID100,1974-12-31,99.0
ID100,1975-12-31,98.0
ID100,1976-12-31,101.0
ID100,1977-12-31,100.0
ID100,1978-12-31,107.0
ID100,1979-12-31,88.0
ID100,1980-12-31,70.0
ID100,1981-12-31,63.0
ID100,1982-12-31,59.0
ID100,1983-12-31,50.0
ID100,1984-12-31,54.0
ID100,1985-12-31,83.0
ID100,1986-12-31,90.0
ID100,1987-12-31,96.0
ID100,1988-12-31,109.0
ID101,1974-12-31,33.0
ID101,1975-12-31,34.900001525878906
ID101,1976-12-31,37.599998474121094
ID101,1977-12-31,43.70000076293945
ID101,1978-12-31,44.599998474121094
ID101,1979-12-31,42.0
ID101,1980-12-31,40.70000076293945
ID101,1981-12-31,45.0
ID101,1982-12-31,46.5
ID101,1983-12-31,44.5
ID101,1984-12-31,70.5999984741211
ID101,1985-12-31,72.80000305175781
ID101,1986-12-31,75.4000015258789
ID101,1987-12-31,77.9000015258789
ID101,1988-12-31,78.9000015258789
ID101,1989-12-31,81.5
ID101,1990-12-31,83.5
ID101,1991-12-31,85.19999694824219
ID102,1968-12-31,191562.0
ID102,1969-12-31,206884.0
ID102,1970-12-31,217342.0
ID102,1971-12-31,230677.0
ID102,1972-12-31,237258.0
ID102,1973-12-31,255201.0
ID102,1974-12-31,267545.0
ID102,1975-12-31,282349.0
ID102,1976-12-31,291057.0
ID102,1977-12-31,312343.0
ID102,1978-12-31,326528.0
ID103,1968-12-31,34666.0
ID103,1969-12-31,55413.0
ID103,1970-12-31,69517.0
ID103,1971-12-31,73404.0
ID103,1972-12-31,68004.0
ID103,1973-12-31,68322.0
ID103,1974-12-31,72724.0
ID103,1975-12-31,80115.0
