unique_id,ds,y
ID0,1979-01-31,1149.8699951171875
ID0,1979-02-28,1053.8001708984375
ID0,1979-03-31,1388.8797607421875
ID0,1979-04-30,1783.3702392578125
ID0,1979-05-31,1921.025146484375
ID0,1979-06-30,2704.94482421875
ID0,1979-07-31,4184.41357421875
ID0,1979-08-31,4148.35400390625
ID0,1979-09-30,2620.72509765625
ID0,1979-10-31,1650.300048828125
ID0,1979-11-30,1115.9200439453125
ID0,1979-12-31,1370.6251220703125
ID0,1980-01-31,1096.31494140625
ID0,1980-02-29,978.4600219726562
ID0,1980-03-31,1294.68505859375
ID0,1980-04-30,1480.465087890625
ID0,1980-05-31,1748.865234375
ID0,1980-06-30,2216.920166015625
ID0,1980-07-31,4690.5185546875
ID0,1980-08-31,4682.8642578125
ID0,1980-09-30,2459.579833984375
ID0,1980-10-31,1484.4901123046875
ID0,1980-11-30,1028.985107421875
ID0,1980-12-31,1109.3648681640625
ID0,1981-01-31,960.8751220703125
ID0,1981-02-28,896.35009765625
ID0,1981-03-31,1118.6551513671875
ID0,1981-04-30,1619.9949951171875
ID0,1981-05-31,1847.994873046875
ID0,1981-06-30,2367.044921875
ID0,1981-07-31,4991.16015625
ID0,1981-08-31,4772.9443359375
ID0,1981-09-30,2894.678466796875
ID0,1981-10-31,1860.4801025390625
ID0,1981-11-30,1185.150146484375
ID0,1981-12-31,1313.659912109375
ID0,1982-01-31,1160.9150390625
ID0,1982-02-28,1061.5048828125
ID0,1982-03-31,1301.77001953125
ID0,1982-04-30,1794.3797607421875
ID0,1982-05-31,2106.455078125
ID0,1982-06-30,2789.034912109375
ID0,1982-07-31,4917.8466796875
ID0,1982-08-31,4994.4833984375
ID0,1982-09-30,3016.754150390625
ID0,1982-10-31,1941.505126953125
ID0,1982-11-30,1234.135009765625
ID0,1982-12-31,1378.72021484375
ID0,1983-01-31,1182.9749755859375
ID0,1983-02-28,1081.6600341796875
ID0,1983-03-31,1424.110107421875
ID0,1983-04-30,1774.5350341796875
ID0,1983-05-31,2115.420166015625
ID0,1983-06-30,2804.840087890625
ID0,1983-07-31,4849.498046875
ID0,1983-08-31,4937.47509765625
ID0,1983-09-30,3074.2236328125
ID0,1983-10-31,2063.42529296875
ID0,1983-11-30,1297.355224609375
ID0,1983-12-31,1350.710205078125
ID0,1984-01-31,1224.360107421875
ID0,1984-02-29,1165.815185546875
ID0,1984-03-31,1409.3299560546875
ID0,1984-04-30,2116.5498046875
ID0,1984-05-31,2357.135009765625
ID0,1984-06-30,2995.0703125
ID0,1984-07-31,5295.2119140625
ID0,1984-08-31,4957.90478515625
ID0,1984-09-30,3321.959228515625
ID0,1984-10-31,2221.18017578125
ID0,1984-11-30,1345.9000244140625
