unique_id,ds,y
ID0,1979-03-31,3592.550048828125
ID0,1979-06-30,6409.34033203125
ID0,1979-09-30,10953.4931640625
ID0,1979-12-31,4136.84521484375
ID0,1980-03-31,3369.4599609375
ID0,1980-06-30,5446.25048828125
ID0,1980-09-30,11832.962890625
ID0,1980-12-31,3622.840087890625
ID0,1981-03-31,2975.88037109375
ID0,1981-06-30,5835.03466796875
ID0,1981-09-30,12658.783203125
ID0,1981-12-31,4359.2900390625
ID0,1982-03-31,3524.18994140625
ID0,1982-06-30,6689.8701171875
ID0,1982-09-30,12929.0849609375
ID0,1982-12-31,4554.3603515625
ID0,1983-03-31,3688.7451171875
ID0,1983-06-30,6694.79541015625
ID0,1983-09-30,12861.1962890625
ID0,1983-12-31,4711.49072265625
ID0,1984-03-31,3799.50537109375
ID0,1984-06-30,7468.75537109375
ID0,1984-09-30,13575.076171875
ID0,1984-12-31,5081.09521484375
ID0,1985-03-31,3930.685302734375
ID0,1985-06-30,7299.00048828125
ID0,1985-09-30,13721.4013671875
ID0,1985-12-31,5265.7451171875
ID0,1986-03-31,4317.4501953125
ID0,1986-06-30,7579.5849609375
ID0,1986-09-30,15061.646484375
ID0,1986-12-31,5654.81494140625
ID0,1987-03-31,4576.85986328125
ID0,1987-06-30,8845.9033203125
ID0,1987-09-30,16198.34375
ID0,1987-12-31,6432.06005859375
ID0,1988-03-31,5432.76953125
ID0,1988-06-30,8864.130859375
ID0,1988-09-30,17327.603515625
ID0,1988-12-31,6848.24951171875
ID0,1989-03-31,5658.625
ID0,1989-06-30,8778.26171875
ID0,1989-09-30,17154.771484375
ID0,1989-12-31,6829.234375
ID0,1990-03-31,5438.60986328125
ID0,1990-06-30,8741.3232421875
ID0,1990-09-30,15704.7099609375
ID1,1979-03-31,172137.15625
ID1,1979-06-30,207720.03125
ID1,1979-09-30,312830.0625
ID1,1979-12-31,195209.265625
ID1,1980-03-31,153662.0
ID1,1980-06-30,203812.953125
ID1,1980-09-30,327819.46875
ID1,1980-12-31,201774.546875
ID1,1981-03-31,164833.796875
ID1,1981-06-30,210252.734375
ID1,1981-09-30,365329.90625
ID1,1981-12-31,231132.625
ID1,1982-03-31,183341.265625
ID1,1982-06-30,245359.40625
ID1,1982-09-30,395632.5
ID1,1982-12-31,239873.203125
ID1,1983-03-31,207111.375
ID1,1983-06-30,273082.3125
ID1,1983-09-30,440175.1875
ID1,1983-12-31,275192.03125
ID1,1984-03-31,218010.953125
ID1,1984-06-30,317881.65625
ID1,1984-09-30,491747.8125
ID1,1984-12-31,324293.125
ID1,1985-03-31,240547.0625
ID1,1985-06-30,316376.3125
ID1,1985-09-30,503022.09375
ID1,1985-12-31,312877.90625
ID1,1986-03-31,261187.59375
ID1,1986-06-30,364241.90625
ID1,1986-09-30,550268.5
ID1,1986-12-31,356835.625
ID1,1987-03-31,285757.5625
ID1,1987-06-30,387975.5
ID1,1987-09-30,578709.3125
ID1,1987-12-31,335318.28125
ID1,1988-03-31,309795.8125
ID1,1988-06-30,387748.6875
ID1,1988-09-30,576033.6875
ID1,1988-12-31,344159.65625
ID1,1989-03-31,300421.0
ID1,1989-06-30,374895.0
ID1,1989-09-30,516086.0
ID1,1989-12-31,308229.125
ID1,1990-03-31,281031.6875
ID1,1990-06-30,320256.5
ID1,1990-09-30,458326.40625
ID10,1985-03-31,31503.0
ID10,1985-06-30,72803.0
ID10,1985-09-30,41256.0
ID10,1985-12-31,55415.0
ID10,1986-03-31,31490.0
ID10,1986-06-30,63362.0
ID10,1986-09-30,43080.0
ID10,1986-12-31,55053.0
ID10,1987-03-31,36706.0
ID10,1987-06-30,68295.0
ID10,1987-09-30,39398.0
ID10,1987-12-31,61268.0
