unique_id,ds,y
M1,1990-01-31,2640.0
M1,1990-02-28,2640.0
M1,1990-03-31,2160.0
M1,1990-04-30,4200.0
M1,1990-05-31,3360.0
M1,1990-06-30,2400.0
M1,1990-07-31,3600.0
M1,1990-08-31,1920.0
M1,1990-09-30,4200.0
M1,1990-10-31,4560.0
M1,1990-11-30,480.0
M1,1990-12-31,3720.0
M1,1991-01-31,5640.0
M1,1991-02-28,2880.0
M1,1991-03-31,1800.0
M1,1991-04-30,3120.0
M1,1991-05-31,2400.0
M1,1991-06-30,2520.0
M1,1991-07-31,9000.0
M1,1991-08-31,2640.0
M1,1991-09-30,3120.0
M1,1991-10-31,2880.0
M1,1991-11-30,8760.0
M1,1991-12-31,5160.0
M1,1992-01-31,2160.0
M1,1992-02-29,8280.0
M1,1992-03-31,4920.0
M1,1992-04-30,3120.0
M1,1992-05-31,6600.0
M1,1992-06-30,4080.0
M1,1992-07-31,5880.0
M1,1992-08-31,1680.0
M1,1992-09-30,6720.0
M1,1992-10-31,2040.0
M1,1992-11-30,6480.0
M1,1992-12-31,1920.0
M1,1993-01-31,3600.0
M1,1993-02-28,2040.0
M1,1993-03-31,2760.0
M1,1993-04-30,3840.0
M1,1993-05-31,960.0
M1,1993-06-30,2280.0
M1,1993-07-31,1320.0
M1,1993-08-31,2160.0
M1,1993-09-30,4800.0
M1,1993-10-31,3000.0
M1,1993-11-30,3120.0
M1,1993-12-31,5880.0
M1,1994-01-31,2640.0
M1,1994-02-28,2400.0
M10,1990-01-31,4120.0
M10,1990-02-28,5020.0
M10,1990-03-31,3840.0
M10,1990-04-30,5720.0
M10,1990-05-31,4960.0
M10,1990-06-30,1960.0
M10,1990-07-31,3780.0
M10,1990-08-31,3620.0
M10,1990-09-30,6700.0
M10,1990-10-31,3780.0
M10,1990-11-30,5340.0
M10,1990-12-31,3280.0
M10,1991-01-31,4980.0
M10,1991-02-28,6220.0
M10,1991-03-31,5400.0
M10,1991-04-30,5180.0
M10,1991-05-31,5280.0
M10,1991-06-30,4460.0
M10,1991-07-31,2180.0
M10,1991-08-31,2560.0
M10,1991-09-30,5280.0
M10,1991-10-31,4480.0
M10,1991-11-30,5820.0
M10,1991-12-31,5720.0
M10,1992-01-31,8340.0
M10,1992-02-29,7080.0
M10,1992-03-31,4160.0
M10,1992-04-30,2460.0
M10,1992-05-31,3440.0
M10,1992-06-30,3120.0
M10,1992-07-31,3240.0
M10,1992-08-31,3560.0
M10,1992-09-30,3260.0
M10,1992-10-31,4780.0
M10,1992-11-30,6400.0
M10,1992-12-31,3880.0
M10,1993-01-31,5080.0
M10,1993-02-28,4760.0
M10,1993-03-31,4460.0
M10,1993-04-30,7580.0
M10,1993-05-31,5740.0
M10,1993-06-30,1780.0
M10,1993-07-31,1480.0
M10,1993-08-31,4600.0
M10,1993-09-30,5440.0
M10,1993-10-31,5260.0
M10,1993-11-30,5060.0
M10,1993-12-31,3460.0
M10,1994-01-31,6260.0
M10,1994-02-28,6140.0
M100,1990-01-31,11700.0
M100,1990-02-28,8020.0
M100,1990-03-31,8450.0
M100,1990-04-30,7740.0
M100,1990-05-31,7920.0
M100,1990-06-30,7850.0
M100,1990-07-31,7990.0
M100,1990-08-31,7840.0
M100,1990-09-30,7230.0
M100,1990-10-31,7670.0
M100,1990-11-30,8010.0
M100,1990-12-31,7710.0
M100,1991-01-31,9430.0
M100,1991-02-28,6510.0
M100,1991-03-31,6540.0
M100,1991-04-30,8350.0
M100,1991-05-31,8130.0
M100,1991-06-30,6480.0
M100,1991-07-31,7420.0
M100,1991-08-31,6620.0
M100,1991-09-30,6690.0
M100,1991-10-31,6790.0
M100,1991-11-30,5890.0
M100,1991-12-31,8720.0
M100,1992-01-31,7850.0
M100,1992-02-29,6060.0
M100,1992-03-31,6450.0
M100,1992-04-30,6050.0
M100,1992-05-31,5480.0
M100,1992-06-30,6340.0
M100,1992-07-31,6190.0
M100,1992-08-31,5100.0
M100,1992-09-30,6250.0
M100,1992-10-31,7330.0
M100,1992-11-30,5930.0
M100,1992-12-31,7270.0
M100,1993-01-31,5580.0
M100,1993-02-28,6080.0
M100,1993-03-31,6900.0
M100,1993-04-30,5840.0
M100,1993-05-31,4810.0
M100,1993-06-30,6440.0
M100,1993-07-31,5790.0
M100,1993-08-31,5350.0
M100,1993-09-30,5480.0
M100,1993-10-31,5200.0
M100,1993-11-30,5700.0
M100,1993-12-31,6790.0
M100,1994-01-31,7230.0
M100,1994-02-28,6230.0
M100,1994-03-31,5480.0
M1000,1983-01-31,3705.4
M1000,1983-02-28,3726.0
M1000,1983-03-31,3692.0
M1000,1983-04-30,3721.6
M1000,1983-05-31,3681.0
M1000,1983-06-30,3684.6
M1000,1983-07-31,3730.6
M1000,1983-08-31,3759.4
M1000,1983-09-30,3782.8
