unique_id,ds,y
Y1,1975-12-31,940.66
Y1,1976-12-31,1084.86
Y1,1977-12-31,1244.98
Y1,1978-12-31,1445.02
Y1,1979-12-31,1683.17
Y1,1980-12-31,2038.15
Y1,1981-12-31,2342.52
Y1,1982-12-31,2602.45
Y1,1983-12-31,2927.87
Y1,1984-12-31,3103.96
Y1,1985-12-31,3360.27
Y1,1986-12-31,3807.63
Y1,1987-12-31,4387.88
Y1,1988-12-31,4936.99
Y1,1989-12-31,5379.75
Y1,1990-12-31,6158.68
Y10,1975-12-31,2160.04
Y10,1976-12-31,2553.48
Y10,1977-12-31,2901.18
Y10,1978-12-31,3205.21
Y10,1979-12-31,4059.58
Y10,1980-12-31,4742.69
Y10,1981-12-31,5063.38
Y10,1982-12-31,6154.5
Y10,1983-12-31,7146.27
Y10,1984-12-31,7839.0
Y10,1985-12-31,8163.77
Y10,1986-12-31,8892.0
Y10,1987-12-31,9344.0
Y10,1988-12-31,9551.0
Y10,1989-12-31,10042.9
Y10,1990-12-31,10173.0
Y100,1975-12-31,1424.7
Y100,1976-12-31,1546.5
Y100,1977-12-31,1615.7
Y100,1978-12-31,1868.7
Y100,1979-12-31,2041.5
Y100,1980-12-31,2303.3
Y100,1981-12-31,2615.0
Y100,1982-12-31,2123.0
Y100,1983-12-31,2295.0
Y100,1984-12-31,2515.0
Y100,1985-12-31,2011.0
Y100,1986-12-31,2166.0
Y100,1987-12-31,2210.0
Y100,1988-12-31,2540.0
Y100,1989-12-31,2385.0
Y100,1990-12-31,3145.0
Y101,1975-12-31,3903.0
Y101,1976-12-31,3834.0
Y101,1977-12-31,4133.0
Y101,1978-12-31,5134.0
Y101,1979-12-31,5858.0
Y101,1980-12-31,6370.0
Y101,1981-12-31,5602.0
Y101,1982-12-31,5345.0
Y101,1983-12-31,5240.0
Y101,1984-12-31,5152.0
Y101,1985-12-31,5773.0
Y101,1986-12-31,6248.0
Y101,1987-12-31,5368.0
Y101,1988-12-31,5726.0
Y101,1989-12-31,6145.0
Y101,1990-12-31,7808.0
Y102,1975-12-31,1566.4
Y102,1976-12-31,1343.5
Y102,1977-12-31,1447.0
